# x	y	u	v	flags	mask
2.3829e+00	6.3407e+00	-1.4264e-03	-5.0500e-03	0.0000e+00	0.0000e+00
2.6005e+00	6.3407e+00	-5.5042e-03	-7.5187e-07	0.0000e+00	0.0000e+00
2.8181e+00	6.3407e+00	3.7775e-06	1.8437e-03	0.0000e+00	0.0000e+00
3.0356e+00	6.3407e+00	-5.6824e-04	9.6568e-03	0.0000e+00	0.0000e+00
3.2532e+00	6.3407e+00	1.7296e-02	1.3047e-02	0.0000e+00	0.0000e+00
3.4708e+00	6.3407e+00	-4.0095e-03	3.3437e-03	0.0000e+00	0.0000e+00
3.6884e+00	6.3407e+00	-4.8238e-03	-1.4608e-03	0.0000e+00	0.0000e+00
3.9059e+00	6.3407e+00	-1.6330e-02	-5.8709e-03	0.0000e+00	0.0000e+00
4.1235e+00	6.3407e+00	-5.1292e-03	-5.1795e-02	0.0000e+00	0.0000e+00
4.3411e+00	6.3407e+00	3.5548e-03	-4.8154e-02	0.0000e+00	0.0000e+00
4.5586e+00	6.3407e+00	7.0646e-03	-1.3928e-02	0.0000e+00	0.0000e+00
4.7762e+00	6.3407e+00	-7.3412e-04	2.8623e-03	0.0000e+00	0.0000e+00
4.9938e+00	6.3407e+00	-2.6205e-03	5.3023e-03	0.0000e+00	0.0000e+00
5.2114e+00	6.3407e+00	-4.5948e-03	2.1902e-03	0.0000e+00	0.0000e+00
5.4289e+00	6.3407e+00	1.6601e-02	1.2591e-02	0.0000e+00	0.0000e+00
5.6465e+00	6.3407e+00	1.6854e-03	-7.8605e-04	0.0000e+00	0.0000e+00
5.8641e+00	6.3407e+00	-1.0208e-02	1.0865e-02	0.0000e+00	0.0000e+00
6.0816e+00	6.3407e+00	3.4203e-03	7.0172e-03	0.0000e+00	0.0000e+00
6.2992e+00	6.3407e+00	1.0015e-02	1.2018e-03	0.0000e+00	0.0000e+00
6.5168e+00	6.3407e+00	1.1187e-03	-1.5897e-03	1.0000e+00	0.0000e+00
6.7344e+00	6.3407e+00	6.5833e-03	1.3433e-02	0.0000e+00	0.0000e+00
6.9519e+00	6.3407e+00	3.8059e-03	2.9152e-03	0.0000e+00	0.0000e+00
7.1695e+00	6.3407e+00	-2.1331e-03	-1.1020e-03	0.0000e+00	0.0000e+00
7.3871e+00	6.3407e+00	9.4058e-04	-1.4469e-02	0.0000e+00	0.0000e+00
7.6046e+00	6.3407e+00	-1.9997e-03	1.9886e-03	0.0000e+00	0.0000e+00
7.8222e+00	6.3407e+00	1.9765e-03	-1.2290e-09	0.0000e+00	0.0000e+00
8.0398e+00	6.3407e+00	6.2851e-03	-2.1734e-02	0.0000e+00	0.0000e+00
8.2574e+00	6.3407e+00	2.0722e-05	-1.9213e-02	0.0000e+00	0.0000e+00
8.4749e+00	6.3407e+00	6.7742e-04	6.0985e-03	0.0000e+00	0.0000e+00
8.6925e+00	6.3407e+00	3.4840e-03	6.5326e-03	0.0000e+00	0.0000e+00
8.9101e+00	6.3407e+00	-1.6431e-03	9.1217e-04	0.0000e+00	0.0000e+00
9.1276e+00	6.3407e+00	1.5166e-05	-1.1288e-03	0.0000e+00	0.0000e+00
9.3452e+00	6.3407e+00	4.5101e-03	-4.3790e-04	0.0000e+00	0.0000e+00
